Timestamp, Event, Value
6,138,Bullet Missed,1
6,139,Bullet Fired,1
6,139,Turn Right,1
6,139,Accelerate,1
6,155,Turn Right,1
6,155,Accelerate,1
6,172,Turn Right,1
6,172,Accelerate,1
6,188,Turn Right,1
6,188,Accelerate,1
6,206,Turn Right,1
6,206,Accelerate,1
6,222,Turn Right,1
6,222,Accelerate,1
6,239,Bullet Missed,1
6,239,Turn Right,1
6,239,Accelerate,1
6,256,Turn Left,1
6,256,Accelerate,1
6,272,Turn Left,1
6,272,Accelerate,1
6,288,Turn Left,1
6,288,Accelerate,1
6,305,Turn Left,1
6,305,Accelerate,1
6,322,Turn Left,1
6,322,Accelerate,1
6,338,Turn Left,1
6,338,Accelerate,1
6,356,Turn Left,1
6,356,Accelerate,1
6,372,Turn Left,1
6,372,Accelerate,1
6,388,Turn Left,1
6,388,Accelerate,1
6,405,Turn Left,1
6,406,Accelerate,1
6,423,Turn Left,1
6,423,Accelerate,1
6,439,Turn Left,1
6,439,Accelerate,1
6,456,Turn Left,1
6,456,Accelerate,1
6,472,Turn Left,1
6,472,Accelerate,1
6,488,Turn Left,1
6,488,Accelerate,1
6,506,Turn Left,1
6,506,Accelerate,1
6,522,Turn Left,1
6,522,Accelerate,1
6,539,Turn Left,1
6,539,Accelerate,1
6,555,Turn Left,1
6,555,Accelerate,1
6,572,Turn Left,1
6,572,Accelerate,1
6,588,Turn Left,1
6,588,Accelerate,1
6,605,Turn Left,1
6,605,Accelerate,1
6,622,Turn Left,1
6,622,Accelerate,1
6,638,Turn Left,1
6,638,Accelerate,1
6,655,Turn Left,1
6,655,Accelerate,1
6,672,Turn Left,1
6,672,Accelerate,1
6,689,Turn Left,1
6,689,Accelerate,1
6,706,Turn Left,1
6,706,Accelerate,1
6,722,Turn Left,1
6,722,Accelerate,1
6,739,Turn Left,1
6,739,Accelerate,1
6,756,Turn Left,1
6,756,Accelerate,1
6,773,Turn Left,1
6,773,Accelerate,1
6,789,Turn Left,1
6,789,Accelerate,1
6,806,Turn Left,1
6,806,Accelerate,1
6,822,Turn Left,1
6,822,Accelerate,1
6,838,Turn Left,1
6,838,Accelerate,1
6,857,Turn Left,1
6,858,Accelerate,1
6,872,Turn Left,1
6,872,Accelerate,1
6,889,Turn Left,1
6,889,Accelerate,1
6,907,Turn Left,1
6,907,Accelerate,1
6,923,Turn Left,1
6,923,Accelerate,1
6,939,Turn Left,1
6,939,Accelerate,1
6,956,Turn Left,1
6,956,Accelerate,1
6,972,Turn Left,1
6,972,Accelerate,1
6,990,Turn Left,1
6,990,Accelerate,1
7,005,Turn Left,1
7,006,Accelerate,1
7,022,Turn Left,1
7,022,Accelerate,1
7,039,Turn Left,1
7,039,Accelerate,1
7,055,Turn Left,1
7,055,Accelerate,1
7,073,Turn Left,1
7,088,Turn Left,1
7,105,Turn Left,1
7,122,Turn Left,1
7,140,Turn Left,1
7,155,Turn Left,1
7,173,Turn Left,1
7,189,Turn Left,1
7,206,Turn Left,1
7,223,Turn Left,1
