Timestamp, Event, Value
11,212,Turn Right,1
11,212,Accelerate,1
11,229,Turn Right,1
11,230,Accelerate,1
11,246,Turn Right,1
11,246,Accelerate,1
11,262,Turn Right,1
11,262,Accelerate,1
11,279,Turn Right,1
11,280,Accelerate,1
11,296,Turn Right,1
11,296,Accelerate,1
11,312,Turn Right,1
11,312,Accelerate,1
11,329,Damage taken,1
11,330,Turn Right,1
11,330,Accelerate,1
11,345,Turn Right,1
11,346,Accelerate,1
11,362,Turn Right,1
11,363,Accelerate,1
11,379,Turn Right,1
11,379,Accelerate,1
11,396,Turn Right,1
11,396,Accelerate,1
11,412,Turn Right,1
11,412,Accelerate,1
11,429,Turn Right,1
11,429,Accelerate,1
11,445,Turn Right,1
11,445,Accelerate,1
11,462,Turn Right,1
11,462,Accelerate,1
11,479,Turn Right,1
11,479,Accelerate,1
11,496,Turn Right,1
11,496,Accelerate,1
11,516,Turn Right,1
11,516,Accelerate,1
11,529,Turn Right,1
11,529,Accelerate,1
11,545,Turn Right,1
11,545,Accelerate,1
11,562,Turn Right,1
11,562,Accelerate,1
11,579,Turn Right,1
11,579,Accelerate,1
11,596,Accelerate,1
11,612,Accelerate,1
11,630,Accelerate,1
11,645,Accelerate,1
11,662,Accelerate,1
11,679,Accelerate,1
11,695,Accelerate,1
11,712,Accelerate,1
11,729,Accelerate,1
11,745,Turn Left,1
11,745,Accelerate,1
11,762,Turn Left,1
11,762,Accelerate,1
11,778,Turn Left,1
11,778,Accelerate,1
11,796,Turn Left,1
11,797,Accelerate,1
11,812,Turn Left,1
11,812,Accelerate,1
11,829,Turn Left,1
11,829,Accelerate,1
11,847,Turn Left,1
11,847,Accelerate,1
11,863,Turn Left,1
11,863,Accelerate,1
11,879,Turn Left,1
11,879,Accelerate,1
11,896,Turn Left,1
11,896,Accelerate,1
11,913,Turn Left,1
11,913,Accelerate,1
11,929,Turn Left,1
11,929,Accelerate,1
11,945,Turn Left,1
11,945,Accelerate,1
11,962,Turn Left,1
11,962,Accelerate,1
11,978,Turn Left,1
11,978,Accelerate,1
11,997,Accelerate,1
12,012,Accelerate,1
12,029,Accelerate,1
12,045,Accelerate,1
12,062,Accelerate,1
12,079,Accelerate,1
12,096,Enemy collision,1
12,096,Damage taken,1
12,096,Enemy killed,1
12,098,Accelerate,1
12,114,Bullet Fired,1
12,114,Accelerate,1
12,129,Accelerate,1
12,146,Turn Right,1
12,146,Accelerate,1
12,162,Turn Right,1
12,162,Accelerate,1
12,179,Turn Right,1
12,179,Accelerate,1
12,197,Turn Right,1
12,197,Accelerate,1
12,212,Bullet Fired,1
12,213,Turn Right,1
12,213,Accelerate,1
12,229,Turn Right,1
12,229,Accelerate,1
12,245,Turn Right,1
12,246,Accelerate,1
12,263,Turn Right,1
12,263,Accelerate,1
12,279,Turn Right,1
12,279,Accelerate,1
12,297,Turn Right,1
12,297,Accelerate,1
12,312,Bullet Fired,1
12,313,Turn Right,1
12,313,Accelerate,1
12,329,Turn Right,1
12,329,Accelerate,1
12,345,Turn Right,1
12,345,Accelerate,1
12,362,Turn Right,1
12,362,Accelerate,1
12,379,Turn Right,1
12,379,Accelerate,1
12,397,Turn Right,1
12,397,Accelerate,1
12,413,Bullet Fired,1
12,413,Turn Right,1
12,413,Accelerate,1
12,429,Turn Right,1
12,429,Accelerate,1
12,446,Turn Right,1
12,446,Accelerate,1
12,463,Turn Right,1
12,463,Accelerate,1
12,479,Turn Right,1
12,479,Accelerate,1
12,496,Turn Right,1
12,496,Accelerate,1
12,512,Bullet Fired,1
12,512,Turn Right,1
12,512,Accelerate,1
12,529,Turn Right,1
12,529,Accelerate,1
12,547,Turn Right,1
12,547,Accelerate,1
12,562,Turn Right,1
12,563,Accelerate,1
12,579,Turn Right,1
12,579,Accelerate,1
12,596,Turn Right,1
12,596,Accelerate,1
12,612,Bullet Fired,1
12,612,Turn Right,1
12,612,Accelerate,1
12,629,Turn Right,1
12,629,Accelerate,1
12,649,Turn Right,1
12,649,Accelerate,1
12,663,Turn Right,1
12,663,Accelerate,1
12,680,Turn Right,1
12,680,Accelerate,1
12,696,Turn Right,1
12,696,Accelerate,1
12,713,Bullet Fired,1
12,713,Turn Right,1
12,713,Accelerate,1
12,729,Enemy hit,199
12,730,Enemy killed,1
12,730,Turn Right,1
12,730,Accelerate,1
12,745,Turn Right,1
12,745,Accelerate,1
12,762,Turn Right,1
12,762,Accelerate,1
12,779,Turn Right,1
12,779,Accelerate,1
12,796,Turn Right,1
12,796,Accelerate,1
12,813,Bullet Fired,1
12,813,Turn Right,1
12,813,Accelerate,1
12,830,Turn Right,1
12,830,Accelerate,1
12,845,Turn Right,1
12,845,Accelerate,1
12,862,Turn Right,1
12,862,Accelerate,1
12,879,Turn Right,1
12,879,Accelerate,1
12,897,Turn Right,1
12,897,Accelerate,1
12,912,Bullet Fired,1
12,912,Turn Right,1
12,912,Accelerate,1
12,929,Turn Right,1
12,929,Accelerate,1
12,948,Turn Right,1
12,948,Accelerate,1
12,962,Turn Right,1
12,963,Accelerate,1
12,979,Turn Right,1
12,979,Accelerate,1
12,997,Turn Right,1
12,997,Accelerate,1
13,013,Bullet Fired,1
13,013,Turn Right,1
13,013,Accelerate,1
13,029,Turn Right,1
13,029,Accelerate,1
13,046,Turn Right,1
13,046,Accelerate,1
13,062,Turn Right,1
13,062,Accelerate,1
13,079,Accelerate,1
13,095,Accelerate,1
13,112,Bullet Fired,1
13,112,Accelerate,1
13,129,Accelerate,1
13,146,Accelerate,1
13,163,Turn Left,1
13,163,Accelerate,1
13,179,Turn Left,1
13,179,Accelerate,1
13,195,Turn Left,1
13,196,Accelerate,1
13,213,Bullet Fired,1
13,213,Turn Left,1
13,229,Turn Left,1
13,246,Turn Left,1
13,262,Turn Left,1
13,279,Turn Left,1
13,295,Turn Left,1
13,313,Turn Left,1
13,329,Turn Left,1
13,345,Turn Left,1
13,362,Turn Left,1
13,379,Turn Left,1
13,395,Bullet Missed,1
13,396,Turn Left,1
13,412,Turn Left,1
13,429,Bullet Missed,1
13,479,Bullet Missed,1
13,562,Bullet Missed,1
13,562,Bullet Missed,1
13,598,Turn Left,1
13,612,Bullet Missed,1
13,613,Turn Left,1
13,629,Turn Left,1
13,646,Turn Left,1
13,662,Turn Left,1
13,679,Turn Left,1
13,696,Turn Left,1
13,712,Bullet Missed,1
13,712,Turn Left,1
13,729,Turn Left,1
13,746,Turn Left,1
13,763,Turn Left,1
13,778,Turn Left,1
13,796,Turn Left,1
13,813,Turn Left,1
13,829,Turn Left,1
13,845,Turn Left,1
13,862,Turn Left,1
13,879,Turn Left,1
13,895,Bullet Missed,1
13,896,Turn Left,1
13,912,Turn Left,1
13,929,Turn Left,1
13,945,Turn Left,1
13,964,Bullet Fired,1
13,964,Turn Left,1
13,978,Turn Left,1
13,996,Turn Left,1
14,012,Turn Left,1
14,029,Turn Left,1
14,044,Turn Left,1
14,063,Bullet Fired,1
14,063,Turn Left,1
14,079,Turn Left,1
14,097,Turn Left,1
14,112,Turn Left,1
14,129,Turn Left,1
14,145,Turn Left,1
14,163,Bullet Missed,1
14,164,Bullet Fired,1
14,164,Turn Left,1
14,179,Turn Left,1
14,197,Turn Left,1
14,213,Turn Left,1
14,229,Turn Left,1
14,246,Turn Left,1
14,263,Bullet Fired,1
14,264,Turn Left,1
14,279,Turn Left,1
14,295,Turn Left,1
14,312,Enemy hit,233
14,362,Bullet Fired,1
14,429,Turn Right,1
14,445,Turn Right,1
14,463,Bullet Fired,1
14,463,Turn Right,1
14,479,Turn Right,1
14,495,Turn Right,1
14,512,Bullet Missed,1
14,512,Bullet Missed,1
14,513,Turn Right,1
14,530,Turn Right,1
14,545,Turn Right,1
14,563,Bullet Fired,1
14,563,Turn Right,1
14,579,Turn Right,1
14,595,Turn Right,1
14,612,Turn Right,1
14,628,Turn Right,1
14,647,Turn Right,1
14,663,Bullet Fired,1
14,663,Turn Right,1
14,679,Turn Right,1
14,697,Turn Right,1
14,762,Bullet Fired,1
14,829,Enemy hit,849
14,863,Bullet Fired,1
14,912,Enemy hit,233
14,948,Turn Left,1
14,963,Bullet Fired,1
14,963,Turn Left,1
14,979,Turn Left,1
14,997,Turn Left,1
15,012,Turn Left,1
15,063,Bullet Fired,1
15,162,Bullet Fired,1
15,263,Bullet Fired,1
15,263,Turn Left,1
15,280,Turn Left,1
15,296,Turn Left,1
15,312,Enemy hit,233
15,312,Turn Left,1
15,312,Enemy killed,1
15,329,Turn Left,1
15,346,Turn Left,1
15,363,Bullet Fired,1
15,363,Turn Left,1
15,379,Turn Left,1
15,462,Bullet Fired,1
