Timestamp, Event, Value
18,325,Turn Left,1
18,325,Accelerate,1
18,342,Turn Left,1
18,342,Accelerate,1
18,358,Turn Left,1
18,359,Accelerate,1
18,374,Turn Left,1
18,375,Accelerate,1
18,392,Turn Left,1
18,392,Accelerate,1
18,408,Turn Left,1
18,408,Accelerate,1
18,425,Turn Left,1
18,425,Accelerate,1
18,441,Turn Left,1
18,441,Accelerate,1
18,459,Turn Left,1
18,459,Accelerate,1
18,475,Turn Left,1
18,475,Accelerate,1
18,491,Turn Left,1
18,491,Accelerate,1
18,507,Turn Left,1
18,507,Accelerate,1
18,524,Turn Left,1
18,524,Accelerate,1
18,541,Turn Left,1
18,541,Accelerate,1
18,558,Turn Left,1
18,558,Accelerate,1
18,575,Accelerate,1
18,591,Accelerate,1
18,608,Accelerate,1
18,623,Bullet Missed,1
18,624,Accelerate,1
18,642,Accelerate,1
18,657,Accelerate,1
18,674,Accelerate,1
18,691,Accelerate,1
18,707,Accelerate,1
18,725,Accelerate,1
18,741,Accelerate,1
18,757,Bullet Missed,1
18,758,Accelerate,1
18,775,Accelerate,1
18,791,Accelerate,1
18,807,Accelerate,1
18,824,Bullet Missed,1
18,825,Accelerate,1
18,842,Accelerate,1
18,857,Accelerate,1
18,875,Accelerate,1
18,890,Bullet Missed,1
18,891,Accelerate,1
18,907,Accelerate,1
18,924,Accelerate,1
18,942,Accelerate,1
18,958,Accelerate,1
18,973,Accelerate,1
18,992,Bullet Missed,1
18,993,Accelerate,1
19,008,Accelerate,1
19,023,Bullet Missed,1
19,024,Accelerate,1
19,041,Accelerate,1
19,057,Accelerate,1
19,074,Accelerate,1
19,090,Accelerate,1
19,108,Accelerate,1
19,124,Accelerate,1
19,141,Accelerate,1
19,158,Turn Left,1
19,158,Accelerate,1
19,175,Turn Left,1
19,175,Accelerate,1
19,191,Turn Left,1
19,191,Accelerate,1
19,208,Turn Left,1
19,208,Accelerate,1
19,225,Turn Left,1
19,225,Accelerate,1
19,241,Turn Left,1
19,241,Accelerate,1
19,258,Turn Left,1
19,258,Accelerate,1
19,274,Turn Left,1
19,274,Accelerate,1
19,291,Turn Left,1
19,291,Accelerate,1
19,307,Turn Left,1
19,307,Accelerate,1
19,324,Turn Left,1
19,324,Accelerate,1
19,341,Turn Left,1
19,341,Accelerate,1
19,358,Turn Left,1
19,358,Accelerate,1
19,375,Accelerate,1
19,391,Accelerate,1
19,408,Accelerate,1
19,424,Accelerate,1
19,442,Accelerate,1
19,457,Accelerate,1
19,474,Accelerate,1
19,491,Accelerate,1
19,508,Bullet Missed,1
19,508,Turn Right,1
19,508,Accelerate,1
19,525,Turn Right,1
19,525,Accelerate,1
19,541,Turn Right,1
19,541,Accelerate,1
19,557,Turn Right,1
19,557,Accelerate,1
19,574,Turn Right,1
19,574,Accelerate,1
